!	99%	90%	75%	50%	<-	Exceedence	level	for	"Feb,"	"Mar,"	Apr	and	"May,"	50%	for	Jun	through	Sep
!Extension	to	2006	by	E.	Reyes-DWR													
american_runoff_forecast																		
wateryear	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP										
1922	923	1948	2143	1703	752	98	14	0										
1923	1667	1569	1140	1117	431	223	140	121										
1924	306	364	359	225	37	0	0	0										
1925	764	1169	969	725	235	42	0	0										
1926	503	897	496	393	169	66	51	37										
1927	980	1213	907	587	24	0	0	0										
1928	661	641	555	205	27	0	0	0										
1929	394	481	402	343	26	0	0	0										
1930	559	627	477	259	26	0	0	0										
1931	384	472	352	189	47	61	52	38										
1932	1300	1371	959	788	231	0	0	0										
1933	437	426	454	192	24	0	0	0										
1934	574	792	430	233	115	121	109	92										
1935	893	933	1046	1004	284	0	0	0										
1936	918	1557	1192	711	96	0	0	0										
1937	656	1057	1167	840	112	0	0	0										
1938	528	1283	1389	783	27	0	0	0										
1939	513	674	624	253	158	79	64	47										
1940	902	1551	1423	784	270	50	10	0										
1941	1307	1534	1206	1150	624	357	312	298										
1942	1128	1374	1064	1054	728	200	72	31										
1943	1088	1005	939	570	137	0	0	0										
1944	580	948	749	694	277	130	94	71										
1945	632	933	1019	608	171	0	0	0										
1946	1036	1160	1192	591	68	0	0	0										
1947	617	738	740	447	152	148	135	114										
1948	406	584	832	1124	629	196	125	95										
1949	628	930	1265	662	140	0	0	0										
1950	970	1023	1041	712	211	0	0	0										
1951	1183	1190	986	686	408	247	227	198										
1952	2717	2894	3031	2188	935	361	173	122										
1953	1130	938	1021	1013	670	344	231	206										
1954	727	962	1085	803	370	366	344	338										
1955	835	928	695	791	305	95	61	33										
1956	1509	1654	1143	897	459	79	0	0										
1957	622	909	864	721	673	408	384	358										
1958	866	1316	1753	1516	534	174	71	33										
1959	567	906	648	429	184	67	50	37										
1960	388	785	729	508	240	94	75	53										
1961	443	539	649	504	298	189	189	184										
1962	480	1206	1260	716	198	0	0	0										
1963	1388	1214	1408	1552	878	632	601	593										
1964	843	732	689	425	231	125	95	86										
1965	1133	954	760	718	133	0	0	0										
1966	973	1060	784	471	146	64	62	48										
1967	1292	1030	1172	1445	584	106	0	0										
1968	895	855	686	326	44	0	0	18										
1969	1734	2373	1926	1509	405	0	0	0										
1970	1166	1084	856	670	274	162	135	110										
1971	1418	1237	1247	928	438	148	62	32										
1972	813	984	485	399	25	0	0	0										
1973	1003	1346	1203	768	95	0	0	0										
1974	1191	1358	1650	1291	678	316	562	542										
1975	562	1082	1277	1264	474	64	0	61										
1976	284	414	244	139	28	0	0	0										
1977	249	226	192	103	26	0	0	0										
1978	1128	1355	1304	1381	761	435	376	392										
1979	614	1065	959	734	181	0	0	0										
1980	732	1168	852	587	183	0	0	0										
1981	629	631	709	429	238	167	168	155										
1982	1528	1383	1667	1159	267	0	0	0										
1983	1439	1867	1851	1726	774	25	0	0										
1984	743	961	662	532	34	0	0	0										
1985	759	889	1033	518	121	40	24	28										
1986	629	950	662	293	25	0	0	0										
1987	342	463	471	230	27	0	0	0										
1988	800	690	460	486	366	337	343	331										
1989	655	726	893	414	33	0	0	0										
1990	470	609	386	174	224	98	97	83										
1991	283	258	660	421	176	110	88	108										
1992	385	796	693	473	263	300	298	286										
1993	1493	1989	1665	1236	695	530	466	456										
1994	566	897	587	463	282	224	224	213										
1995	1699	1448	1826	1572	959	494	264	204										
1996	1126	1167	891	721	465	233	188	168										
1997	1594	1260	803	515	119	70	42	62										
1998	1604	2284	1993	1823	1571	962	853	829										
1999	1063	1581	1270	991	409	75	8	0										
2000	984	1645	1145	817	605	519	489	463										
2001	559	838	600	575	237	186	172	156										
2002	941	1018	1071	665	376	211	191	166										
2003	672	656	558	802	271	0	0	36										
2004	1232	1406	880	505	138	17	2	0										
2005	1857	1517	1732	1430	964	717	599	558										
2006	2635	1145	1488	1309	331	0	0	0										
