!	99%	99%	99%	90%	90%	<-	Exceedence	level	for	"Jan,"	"Feb,"	"Mar,"	Apr	and	May
!Extension	to	2006	by	E.	Reyes-DWR										
feather_runoff_forecast															
wateryear	JAN	FEB	MAR	APR	MAY										
1922	2373	2115	3513	4183	2390										
1923	2198	2299	1865	1367	1015										
1924	1979	1672	1349	1086	740										
1925	1145	907	839	686	369										
1926	1957	2307	2053	1138	820										
1927	1982	2067	2356	2032	1405										
1928	2426	2231	1474	1452	721										
1929	1871	1593	1242	993	800										
1930	1673	2062	1561	1113	578										
1931	1952	1837	1420	1279	942										
1932	1918	1981	1637	1048	656										
1933	1433	1619	1206	1214	714										
1934	2627	2118	1920	1570	1117										
1935	1780	2417	2199	2652	1843										
1936	1269	1433	1926	1416	768										
1937	1257	1379	1874	2005	1266										
1938	2984	3178	5785	6568	3746										
1939	2282	2079	1662	1479	829										
1940	1452	2079	2837	2547	1029										
1941	3752	4375	4018	3308	2669										
1942	3098	3095	2511	2264	1911										
1943	1998	2559	1756	1518	620										
1944	2027	2006	2195	2085	1454										
1945	2067	1580	1593	1635	862										
1946	3047	2181	1854	1838	779										
1947	2272	1797	1376	1744	1032										
1948	1568	1441	1072	1768	2127										
1949	1556	1286	1211	1424	491										
1950	1171	1679	1413	1543	871										
1951	2217	2609	2008	1783	1229										
1952	4251	6663	6546	7350	3483										
1953	3481	3004	1776	1924	1579										
1954	2212	2827	2642	2804	1751										
1955	2020	1905	1550	1204	1105										
1956	2795	3282	3694	2401	1109										
1957	2004	2005	1593	1188	787										
1958	1963	2180	2063	2618	1748										
1959	2638	2671	2948	2201	1240										
1960	1527	1688	1396	1389	686										
1961	3022	2793	2022	2408	1767										
1962	1885	1730	2615	2756	1279										
1963	2587	2560	1452	2182	2006										
1964	2183	2395	1584	1441	765										
1965	2189	2133	1127	878	368										
1966	3371	3236	2741	2198	1152										
1967	2344	3565	2139	2644	2627										
1968	2879	3613	2326	2037	854										
1969	2764	4052	4695	3813	2186										
1970	3062	2978	2049	1646	1118										
1971	4892	4649	3135	3286	1920										
1972	2053	1650	1244	577	340										
1973	1572	2116	2229	1653	557										
1974	4042	3435	2767	3755	1914										
1975	2426	2106	2597	2859	2152										
1976	2263	1614	1368	892	533										
1977	1282	1128	944	771	520										
1978	1827	2911	2544	2112	1830										
1979	1470	1357	1563	1375	906										
1980	1965	1477	1403	1012	541										
1981	2434	2724	1800	1893	1143										
1982	3062	2954	2062	2890	1788										
1983	3542	4086	4754	4255	3117										
1984	3870	2401	2069	1709	1128										
1985	2727	2117	1749	1900	904										
1986	1588	1690	1802	1161	450										
1987	1908	1753	1286	961	430										
1988	1877	1911	1126	767	679										
1989	1837	1676	1266	1409	635										
1990	1623	1651	1518	1090	632										
1991	1157	1024	873	1305	711										
1992	1778	1541	1637	1441	822										
1993	2680	4373	4956	3272	2009										
1994	2435	2150	2273	1715	1294										
1995	2128	3860	2502	3594	2584										
1996	2113	2675	2313	1873	1317										
1997	3688	2772	1217	815	390										
1998	2561	3328	4335	3946	3182										
1999	2088	2095	2429	1767	1022										
2000	1912	2546	3295	2288	1465										
2001	1684	1470	1524	1163	805										
2002	2320	1746	1274	1243	712										
2003	4321	3225	2323	2324	2842										
2004	1149	1154	1232	1265	1350										
2005	1053	1057	1136	1168	1254										
2006	1103	1108	1186	1219	1304										
