! New Baselines version (Feb 2010)
! 2030 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2030_022510.xls
swp_3_tablea
contractor       percent          TableA
                1              100            50.32
                2              100            28.08
                3              100            42.00
                4              100           141.40
                5              100            12.70
                6              100            82.50
                7              100             9.60
                8              100           123.20
                9              100            27.50
               10              100             9.00
               11              100             5.80
               12              100            42.10
               13              100            57.34
               14              100             3.00
               15              100           134.60
               16              100           611.76
               17              100           108.64
               18              100            56.65
               19              100            71.08
               20              100             2.30
               21              100           182.11
               22              100             0.00
               23              100           417.64
               24              100           744.36
               25              100           367.38
               26              100            37.90
               27              100            29.02
               28              100             5.70
               29              100            21.30
               30              100            91.20
               31              100            28.80
               32              100            17.30
               33              100            25.00
               34              100            45.49
               35              100           100.00
               36              100            47.76
               37              100            96.23
               38              100             3.15
               39              100            16.85
                1               50            50.32
                2               50            28.08
                3               50            42.00
                4               50           141.40
                5               50            12.70
                6               50            82.50
                7               50             9.60
                8               50           123.20
                9               50            27.50
               10               50             9.00
               11               50             5.80
               12               50            42.10
               13               50            57.34
               14               50             3.00
               15               50           134.60
               16               50           611.76
               17               50           108.64
               18               50            56.65
               19               50            71.08
               20               50             2.30
               21               50           182.11
               22               50             0.00
               23               50           417.64
               24               50           744.36
               25               50           367.38
               26               50            37.90
               27               50            29.02
               28               50             5.70
               29               50            21.30
               30               50            91.20
               31               50            28.80
               32               50            17.30
               33               50            25.00
               34               50            45.49
               35               50           100.00
               36               50            47.76
               37               50            96.23
               38               50             3.15
               39               50            16.85
                1               30            50.32
                2               30            28.08
                3               30            42.00
                4               30           141.40
                5               30            12.70
                6               30            82.50
                7               30             9.60
                8               30           123.20
                9               30            27.50
               10               30             9.00
               11               30             5.80
               12               30            42.10
               13               30            57.34
               14               30             3.00
               15               30           134.60
               16               30           611.76
               17               30           108.64
               18               30            56.65
               19               30            71.08
               20               30             2.30
               21               30           182.11
               22               30             0.00
               23               30           417.64
               24               30           744.36
               25               30           367.38
               26               30            37.90
               27               30            29.02
               28               30             5.70
               29               30            21.30
               30               30            91.20
               31               30            28.80
               32               30            17.30
               33               30            25.00
               34               30            45.49
               35               30           100.00
               36               30            47.76
               37               30            96.23
               38               30             3.15
               39               30            16.85
