!	99%	90%	75%	50%	<-	Exceedence	levels	for	"Feb,"	"Mar,"	"Apr,"	and	May
!Extension	to	2006	by	E.	Reyes-DWR								
sacramento_runoff_forecast													
wateryear	FEB	MAR	APR	MAY									
1922	1950	2312	2218	1392									
1923	1853	1751	1295	1227									
1924	1521	1224	1004	801									
1925	2002	2386	2155	1961									
1926	1566	1385	956	822									
1927	2536	2867	2222	1885									
1928	1879	1773	1742	1267									
1929	1701	1710	1451	1298									
1930	1811	1967	1610	1546									
1931	1539	1529	1337	1075									
1932	2300	2229	1726	1469									
1933	1960	1926	1914	1429									
1934	1661	1938	1623	1404									
1935	2264	2356	2193	1858									
1936	1783	1950	1404	1170									
1937	1728	2153	2031	1470									
1938	2431	3553	3152	2096									
1939	1909	1826	1548	1127									
1940	1895	2480	2195	1455									
1941	2781	3348	3066	2663									
1942	2413	2248	1697	1731									
1943	1908	1693	1177	828									
1944	1581	1826	1423	1253									
1945	1611	1686	1556	1058									
1946	1883	2105	1747	1139									
1947	1674	1781	1770	1335									
1948	1598	1483	1543	1664									
1949	1571	1595	1333	776									
1950	1658	1577	1302	877									
1951	2023	1973	1424	1047									
1952	3089	2813	2391	1247									
1953	2077	1804	1744	1434									
1954	2057	1970	1671	1198									
1955	1825	1762	1404	1334									
1956	2372	2870	1839	1131									
1957	1835	2005	1511	1207									
1958	1666	1801	1720	1031									
1959	1957	2288	1843	1379									
1960	1585	1349	1176	830									
1961	1816	1761	1730	1342									
1962	1800	2130	1859	1267									
1963	1959	1931	2089	1714									
1964	1820	1607	1350	918									
1965	1623	1373	975	941									
1966	2074	2112	1565	996									
1967	2331	1801	1956	1824									
1968	2131	1915	1545	1010									
1969	2610	3032	2170	1460									
1970	2068	1852	1327	806									
1971	2292	1964	1813	1092									
1972	1536	1495	977	776									
1973	1769	2008	1419	820									
1974	1825	1927	1845	995									
1975	1931	2207	2175	1684									
1976	1554	1453	1036	801									
1977	1531	1219	1001	795									
1978	1745	1974	1876	1830									
1979	1645	1950	1630	1381									
1980	1697	2175	1548	1267									
1981	1921	2030	1853	1495									
1982	2056	1980	1930	1303									
1983	3056	3600	3241	2489									
1984	1968	2058	1728	1372									
1985	1807	1886	1790	1262									
1986	1784	1939	1582	1051									
1987	1647	1634	1548	1145									
1988	1741	1502	1092	1114									
1989	1671	1625	1725	1212									
1990	1503	1553	1237	985									
1991	1531	1222	1470	1182									
1992	1574	1790	1649	1435									
1993	2688	2887	2178	1718									
1994	1949	2163	1764	1596									
1995	2279	1876	2087	1722									
1996	2489	2615	1836	1656									
1997	2336	1884	1520	1294									
1998	2087	2904	2440	1884									
1999	2049	2490	1850	1250									
2000	2135	2624	1778	1518									
2001	1582	1696	1250	990									
2002	1778	1869	1559	1248									
2003	2273	2239	2216	2455									
2004	2078	2678	1957	1598									
2005	2159	2219	2160	1860									
2006	2211	2406	2664	2016									
