!Average	past	five	SJR	60-20-20	water	year	types
!Joint	model						
!Extended	6/27/2005	from	1998	to	2003	by	C.Quan-DWR.
wytypeSJRave5							
wateryear	index						
1922	2						
1923	2						
1924	3						
1925	3						
1926	3						
1927	3.2						
1928	3.4						
1929	3.4						
1930	3.8						
1931	4						
1932	4						
1933	4.2						
1934	4.2						
1935	3.6						
1936	3						
1937	2.8						
1938	2.2						
1939	2						
1940	2						
1941	1.8						
1942	1.8						
1943	1.8						
1944	1.6						
1945	1.6						
1946	1.8						
1947	2.4						
1948	2.8						
1949	2.8						
1950	3						
1951	3						
1952	2.4						
1953	2.4						
1954	2.4						
1955	2.6						
1956	2.4						
1957	2.8						
1958	2.4						
1959	2.6						
1960	2.8						
1961	3.6						
1962	3.6						
1963	3.8						
1964	3.8						
1965	3						
1966	2.6						
1967	2.2						
1968	2.6						
1969	2						
1970	2.2						
1971	2.2						
1972	2.8						
1973	2.4						
1974	2.4						
1975	2.2						
1976	2.6						
1977	2.8						
1978	2.6						
1979	2.8						
1980	2.8						
1981	2.6						
1982	1.8						
1983	1.8						
1984	1.8						
1985	2.4						
1986	1.8						
1987	2.6						
1988	3.4						
1989	4						
1990	4.2						
1991	5						
1992	5						
1993	4.2						
1994	4.2						
1995	3.4						
1996	2.6						
1997	1.8						
1998	1.8						
1999	1.2						
2000	1.4						
2001	2						
2002	2.6						
2003	3						
2004	3.4						
2005	3.2						
2006	2.6						
2007	2.8						
2008	3.2						
2009	3						
