wsi_di_CVP_SYS
wsi     di
0.0 0.0
500.0 3377.458984375
1000.0 3377.458984375
1500.0 3377.458984375
2000.0 3377.458984375
2500.0 3377.458984375
3000.0 3377.458984375
3500.0 3377.458984375
4000.0 3377.458984375
4500.0 3377.458984375
5000.0 3377.458984375
5500.0 3502.4691935119818
6000.0 3714.2100896738293
6500.0 4183.607098954543
7000.0 5222.38330575991
7500.0 6100.6192357687805
8000.0 6970.5764122469745
8500.0 7219.633758821587
9000.0 7914.679124556828
9500.0 8576.237040244374
10000.0 9570.300971373417
10500.0 10434.577485247855
11000.0 11155.421298101173
11500.0 11460.251048310636
12000.0 11634.619517959278
12500.0 11659.122366271939
13000.0 11659.914413383007
13500.0 11730.254040094806
14000.0 11754.108011586004
14500.0 11754.108011586004
15000.0 11754.108011586004
15500.0 11754.108011586004
16000.0 11754.108011586004
16500.0 11754.108011586004
17000.0 11754.108011586004
17500.0 11754.108011586004
18000.0 11754.108011586004
18500.0 11754.108011586004
19000.0 11754.108011586004
19500.0 11754.108011586004
20000.0 11754.108011586004
