!Agricultural Reuse by demand unit for rice lands
!Currently single reuse factor for all demand units
!Month 1 = October
AgReuse
DU   Month     TWAW	Fraction
1    1    	0.25	1.00
1    2    	0.48	0.00
1    3    	0.75	0.00
1    4    	0.76	0.00
1    5    	0.00	0.00
1    6    	0.00	0.00
1    7    	0.00	0.00
1    8    	0.34	0.00
1    9    	0.19	0.50
1    10   	0.24	0.90
1    11   	0.32	0.40
1    12   	2.12	0.00
2    1    	0.25	1.00
2    2    	0.48	0.00
2    3    	0.75	0.00
2    4    	0.76	0.00
2    5    	0.00	0.00
2    6    	0.00	0.00
2    7    	0.00	0.00
2    8    	0.34	0.00
2    9    	0.19	0.55
2    10   	0.24	0.95
2    11   	0.32	0.45
2    12   	2.12	0.35




























































































































































































































