wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3561.30078125
1000.0        3561.30078125
1500.0        3561.30078125
2000.0        3561.30078125
2500.0        3561.30078125
3000.0        3561.30078125
3500.0        3561.30078125
4000.0        3561.30078125
4500.0        3561.30078125
5000.0        3758.85962598
5500.0        3891.2531143
6000.0        4192.19074945
6500.0        4595.4532423
7000.0        5141.04699485
7500.0        5773.79315616
8000.0        6755.69925036
8500.0        7568.21341939
9000.0        7999.07375432
9500.0        8969.40897967
10000.0        9730.10801255
10500.0        10444.0749411
11000.0        11000.6020356
11500.0        11450.8160613
12000.0        11697.9582834
12500.0        11780.1781097
13000.0        11780.1781097
13500.0        11780.1781097
14000.0        11780.1781097
14500.0        11780.1781097
15000.0        11780.1781097
15500.0        11780.1781097
16000.0        11780.1781097
16500.0        11780.1781097
17000.0        11780.1781097
17500.0        11780.1781097
18000.0        11780.1781097
18500.0        11780.1781097
19000.0        11780.1781097
19500.0        11780.1781097
20000.0        11780.1781097
