wsi_di_SWP
wsi                   di
0.0        0.0
500.0        1683.92785645
1000.0        1683.92785645
1500.0        1683.92785645
2000.0        1683.92785645
2500.0        1683.92785645
3000.0        1752.56834243
3500.0        2416.58014501
4000.0        3043.84138428
4500.0        4537.61334908
5000.0        5413.25500653
5500.0        6201.13178147
6000.0        7570.39874334
6500.0        8057.79767056
7000.0        8171.37729297
7500.0        8316.86168315
8000.0        8327.51126557
8500.0        8327.51126557
9000.0        8327.51126557
9500.0        8327.51126557
10000.0        8327.51126557
10500.0        8327.51126557
11000.0        8327.51126557
11500.0        8327.51126557
12000.0        8327.51126557
12500.0        8327.51126557
13000.0        8327.51126557
13500.0        8327.51126557
14000.0        8327.51126557
14500.0        8327.51126557
15000.0        8327.51126557
15500.0        8327.51126557
16000.0        8327.51126557
16500.0        8327.51126557
17000.0        8327.51126557
17500.0        8327.51126557
18000.0        8327.51126557
18500.0        8327.51126557
19000.0        8327.51126557
19500.0        8327.51126557
20000.0        8327.51126557
