!Extended	6/17/2005	from	1994	to	2003	by	C.Quan-DWR.
!Sum	of	Jan-May	eight	river	index	in	taf
delta_index							
wateryear	Dlt_Idx						
	1921	19008					
	1922	19206					
	1923	12397					
	1924	5125					
	1925	15311					
	1926	10983					
	1927	21276					
	1928	15568					
	1929	7227					
	1930	10314					
	1931	5493					
	1932	13989					
	1933	8164					
	1934	8194					
	1935	16841					
	1936	20319					
	1937	16042					
	1938	32275					
	1939	7949					
	1940	26097					
	1941	25186					
	1942	23612					
	1943	22220					
	1944	10251					
	1945	15718					
	1946	14665					
	1947	9409					
	1948	13567					
	1949	11354					
	1950	14728					
	1951	16878					
	1952	28475					
	1953	16503					
	1954	16323					
	1955	9221					
	1956	25503					
	1957	13978					
	1958	28647					
	1959	11645					
	1960	12866					
	1961	9139					
	1962	16243					
	1963	20422					
	1964	8779					
	1965	20339					
	1966	11799					
	1967	22062					
	1968	11859					
	1969	33487					
	1970	24099					
	1971	16832					
	1972	11823					
	1973	19213					
	1974	26594					
	1975	17985					
	1976	6257					
	1977	3514					
	1978	24503					
	1979	14573					
	1980	25872					
	1981	9695					
	1982	32082					
	1983	37654					
	1984	16742					
	1985	9366					
	1986	31430					
	1987	7875					
	1988	7170					
	1989	13655					
	1990	7277					
	1991	7888					
	1992	8455					
	1993	23839					
	1994	6725					
	1995	37471					
	1996	24795					
	1997	28102					
	1998	29730					
	1999	20384					
	2000	20440					
	2001	9081					
	2002	11990					
	2003	15810					
	2004	14335					
	2005	18650					
	2006	29356					
