!Extension	of	data	from	1994	to	2003	by	C.Quan-DWR	on	6/17/05.
!Dec	value	of	eight	river	sum	in	taf			
eightriver										
wateryear	pmi									
1921	2853									
1922	1189									
1923	1983									
1924	450									
1925	910									
1926	635									
1927	1994									
1928	1038									
1929	588									
1930	2283									
1931	356									
1932	1688									
1933	384									
1934	1006									
1935	768									
1936	518									
1937	449									
1938	5032									
1939	741									
1940	700									
1941	3537									
1942	3709									
1943	1770									
1944	521									
1945	1484									
1946	4807									
1947	1014									
1948	489									
1949	625									
1950	412									
1951	6048									
1952	3486									
1953	1866									
1954	769									
1955	1279									
1956	9381									
1957	584									
1958	1624									
1959	571									
1960	464									
1961	1300									
1962	1243									
1963	1856									
1964	808									
1965	8862									
1966	1005									
1967	2954									
1968	804									
1969	1860									
1970	3476									
1971	3208									
1972	1127									
1973	1805									
1974	3706									
1975	835									
1976	735									
1977	350									
1978	1913									
1979	514									
1980	1253									
1981	860									
1982	5794									
1983	3819									
1984	7206									
1985	1166									
1986	1289									
1987	504									
1988	1639									
1989	692									
1990	421									
1991	315									
1992	455									
1993	1261									
1994	735									
1995	1052									
1996	1690									
1997	7358									
1998	1205									
1999	1866									
2000	667									
2001	642									
2002	2519									
2003	3331									
2004	2128									
2005	1558									
2006	5829									
