wsi_di_CVP_SYS
wsi     di
0.0 0.0
500.0 3458.74365234375
1000.0 3458.74365234375
1500.0 3458.74365234375
2000.0 3458.74365234375
2500.0 3458.74365234375
3000.0 3458.74365234375
3500.0 3458.74365234375
4000.0 3458.74365234375
4500.0 3458.74365234375
5000.0 3458.74365234375
5500.0 3458.74365234375
6000.0 3458.74365234375
6500.0 4029.280845009341
7000.0 4694.511443505027
7500.0 5416.561402573352
8000.0 6266.619330318724
8500.0 7367.910496310407
9000.0 8054.347247782456
9500.0 9066.254712932356
10000.0 9699.501784851933
10500.0 10384.699353236638
11000.0 10975.141450401326
11500.0 11272.98241636986
12000.0 11482.200443517697
12500.0 11544.365381024038
13000.0 11544.365381024038
13500.0 11670.493849565173
14000.0 11670.493849565173
14500.0 11670.493849565173
15000.0 11670.493849565173
15500.0 11670.493849565173
16000.0 11670.493849565173
16500.0 11670.493849565173
17000.0 11670.493849565173
17500.0 11670.493849565173
18000.0 11670.493849565173
18500.0 11670.493849565173
19000.0 11670.493849565173
19500.0 11670.493849565173
20000.0 11670.493849565173
