wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        3588.96948242
1000.0        3588.96948242
1500.0        3588.96948242
2000.0        3588.96948242
2500.0        3588.96948242
3000.0        3588.96948242
3500.0        3588.96948242
4000.0        3588.96948242
4500.0        3588.96948242
5000.0        3588.96948242
5500.0        3697.01776292
6000.0        3988.60802762
6500.0        4496.31670636
7000.0        5180.9969452
7500.0        5651.76592972
8000.0        6602.55615534
8500.0        7586.50904047
9000.0        7945.46855162
9500.0        8914.57245642
10000.0        9601.55327901
10500.0        10400.1747679
11000.0        10949.6685836
11500.0        11441.3857048
12000.0        11694.1926252
12500.0        11755.6110128
13000.0        11755.6110128
13500.0        11755.6110128
14000.0        11755.6110128
14500.0        11755.6110128
15000.0        11755.6110128
15500.0        11755.6110128
16000.0        11755.6110128
16500.0        11755.6110128
17000.0        11755.6110128
17500.0        11755.6110128
18000.0        11755.6110128
18500.0        11755.6110128
19000.0        11755.6110128
19500.0        11755.6110128
20000.0        11755.6110128
