wsi_di_SWP
wsi                   di
0.0        0.0
500.0        2041.88195801
1000.0        2041.88195801
1500.0        2041.88195801
2000.0        2041.88195801
2500.0        2041.88195801
3000.0        2041.88195801
3500.0        2435.7420613
4000.0        2966.72373668
4500.0        3929.16226873
5000.0        5203.67811358
5500.0        6096.8202246
6000.0        7467.30335543
6500.0        7990.56273069
7000.0        8140.00929453
7500.0        8252.53032725
8000.0        8252.53032725
8500.0        8252.53032725
9000.0        8252.53032725
9500.0        8252.53032725
10000.0        8252.53032725
10500.0        8252.53032725
11000.0        8252.53032725
11500.0        8252.53032725
12000.0        8252.53032725
12500.0        8252.53032725
13000.0        8252.53032725
13500.0        8252.53032725
14000.0        8252.53032725
14500.0        8252.53032725
15000.0        8252.53032725
15500.0        8252.53032725
16000.0        8252.53032725
16500.0        8252.53032725
17000.0        8252.53032725
17500.0        8252.53032725
18000.0        8252.53032725
18500.0        8252.53032725
19000.0        8252.53032725
19500.0        8252.53032725
20000.0        8252.53032725
